year,abbrev,opioid_cat,nhb_modeled,nhw_modeled
2000,AR,Synthetic opioids,0.52,0.47000000000000003
2000,AZ,All opioids,5.109999999999999,5.67
2000,AZ,Natural and semi-synthetic opioids,2.1,2.09
2000,AZ,Heroin,0.63,0.44
2000,AZ,Synthetic opioids,0.89,0.49
2000,CA,All opioids,3.7600000000000002,4.95
2000,CA,Natural and semi-synthetic opioids,2.77,3.15
2000,CA,Heroin,1.6,1.1300000000000001
2000,CA,Synthetic opioids,0.22,0.47000000000000003
2000,CO,All opioids,6.34,3.8099999999999996
2000,CO,Natural and semi-synthetic opioids,2.06,1.36
2000,CO,Heroin,0.9400000000000001,0.7799999999999999
2000,CO,Synthetic opioids,0.6,0.56
2000,CT,All opioids,4.74,4.5
2000,CT,Natural and semi-synthetic opioids,0.35,0.58
2000,CT,Heroin,3.2800000000000002,2.7600000000000002
2000,CT,Synthetic opioids,0.39,0.25
2000,DC,All opioids,11.57,4.4
2000,DC,Natural and semi-synthetic opioids,1.57,1.1700000000000002
2000,DC,Heroin,1.51,1.55
2000,DC,Synthetic opioids,0.41000000000000003,0.71
2000,DE,All opioids,3.03,5.23
2000,DE,Natural and semi-synthetic opioids,0.55,1.05
2000,DE,Heroin,2.07,1.6900000000000002
2000,DE,Synthetic opioids,0.5700000000000001,0.8
2000,FL,All opioids,1.26,5.24
2000,FL,Natural and semi-synthetic opioids,0.54,2.55
2000,FL,Heroin,0.6699999999999999,1.32
2000,FL,Synthetic opioids,0.18,1.05
2000,GA,All opioids,0.63,1.94
2000,GA,Natural and semi-synthetic opioids,0.3,0.93
2000,GA,Heroin,0.02,0.03
2000,GA,Synthetic opioids,0.1,0.3
2000,IL,All opioids,9.97,3.16
2000,IL,Natural and semi-synthetic opioids,0.25,0.46
2000,IL,Heroin,0.49,0.23
2000,IL,Synthetic opioids,0.04,0.21000000000000002
2000,IN,All opioids,0.51,0.77
2000,IN,Natural and semi-synthetic opioids,0.4,0.3
2000,IN,Heroin,0.28,0.05
2000,IN,Synthetic opioids,0.18,0.17
2000,KS,All opioids,2.23,1.26
2000,KS,Natural and semi-synthetic opioids,1.1600000000000001,0.43000000000000005
2000,KS,Heroin,0.62,0.05
2000,KS,Synthetic opioids,0.73,0.56
2000,KY,All opioids,0.4,2.3899999999999997
2000,KY,Natural and semi-synthetic opioids,0.4,1.3900000000000001
2000,KY,Heroin,0.42000000000000004,0.03
2000,KY,Synthetic opioids,0.33999999999999997,0.45
2000,LA,All opioids,0.32,1.73
2000,LA,Natural and semi-synthetic opioids,0.2,1.1
2000,LA,Heroin,0.09,0.06
2000,LA,Synthetic opioids,0.09,0.2
2000,MA,All opioids,7.17,6.09
2000,MA,Natural and semi-synthetic opioids,0.8200000000000001,0.71
2000,MA,Heroin,0.25,0.22
2000,MA,Synthetic opioids,0.53,0.17
2000,MD,All opioids,15.26,8.219999999999999
2000,MD,Natural and semi-synthetic opioids,0.13,0.33999999999999997
2000,MD,Heroin,0.3,0.03
2000,MD,Synthetic opioids,0.14,0.28
2000,MI,All opioids,3.27,1.31
2000,MI,Natural and semi-synthetic opioids,0.6599999999999999,0.45
2000,MI,Heroin,1.81,0.44
2000,MI,Synthetic opioids,1.01,0.17
2000,MN,All opioids,9.82,1.25
2000,MN,Natural and semi-synthetic opioids,1.93,0.51
2000,MN,Heroin,1.09,0.05
2000,MN,Synthetic opioids,1.02,0.2
2000,MO,All opioids,2.71,2.23
2000,MO,Natural and semi-synthetic opioids,0.7899999999999999,0.77
2000,MO,Heroin,1.51,0.7
2000,MO,Synthetic opioids,0.1,0.6699999999999999
2000,MS,All opioids,0.09,0.69
2000,MS,Natural and semi-synthetic opioids,0.08,0.38
2000,MS,Heroin,0.1,0.08
2000,MS,Synthetic opioids,0.08,0.21000000000000002
2000,NC,All opioids,1.31,4.02
2000,NC,Natural and semi-synthetic opioids,0.32,1.52
2000,NC,Heroin,0.71,0.6
2000,NC,Synthetic opioids,0.25,0.98
2000,NJ,All opioids,6.64,4.819999999999999
2000,NJ,Natural and semi-synthetic opioids,1.06,1.11
2000,NJ,Heroin,5.01,2.61
2000,NJ,Synthetic opioids,0.21000000000000002,0.36
2000,NV,All opioids,7.04,11.93
2000,NV,Natural and semi-synthetic opioids,2.5,5.48
2000,NV,Heroin,2.4499999999999997,2.53
2000,NV,Synthetic opioids,1.1400000000000001,1.3900000000000001
2000,NY,All opioids,3.92,2.24
2000,NY,Natural and semi-synthetic opioids,0.23,0.28
2000,NY,Heroin,0.12000000000000001,0.15000000000000002
2000,NY,Synthetic opioids,0.15000000000000002,0.13
2000,OH,All opioids,3.17,2.36
2000,OH,Natural and semi-synthetic opioids,0.93,1.09
2000,OH,Heroin,1.48,0.55
2000,OH,Synthetic opioids,0.27,0.4
2000,OK,All opioids,2.56,4.71
2000,OK,Natural and semi-synthetic opioids,1.1800000000000002,2.4699999999999998
2000,OK,Heroin,0.45,0.23
2000,OK,Synthetic opioids,0.46,0.75
2000,PA,All opioids,2.3099999999999996,2.7
2000,PA,Natural and semi-synthetic opioids,0.39,0.8600000000000001
2000,PA,Heroin,1.8,1.36
2000,PA,Synthetic opioids,0.22,0.23
2000,SC,All opioids,0.7,2.25
2000,SC,Natural and semi-synthetic opioids,0.35,1.31
2000,SC,Heroin,0.1,0.12000000000000001
2000,SC,Synthetic opioids,0.12000000000000001,0.6
2000,TN,All opioids,0.46,2.11
2000,TN,Natural and semi-synthetic opioids,0.35,1.1900000000000002
2000,TN,Heroin,0.15000000000000002,0.1
2000,TN,Synthetic opioids,0.2,0.33999999999999997
2000,TX,All opioids,1.76,2.66
2000,TX,Natural and semi-synthetic opioids,0.45,1.1
2000,TX,Heroin,0.6599999999999999,0.73
2000,TX,Synthetic opioids,0.14,0.49
2000,WA,All opioids,10.97,6.29
2000,WA,Natural and semi-synthetic opioids,1.6600000000000001,1.86
2000,WA,Heroin,1.6600000000000001,1.03
2000,WA,Synthetic opioids,1.03,0.6
2000,WI,All opioids,4.83,1.84
2000,WI,Natural and semi-synthetic opioids,1.8900000000000001,1.02
2000,WI,Heroin,2.8099999999999996,0.2
2000,WI,Synthetic opioids,0.8600000000000001,0.48000000000000004
2001,AL,All opioids,0.38,1.35
2001,AL,Natural and semi-synthetic opioids,0.17,0.54
2001,AL,Heroin,0.09,0.04
2001,AL,Synthetic opioids,0.12000000000000001,0.29000000000000004
2001,AR,All opioids,0.8400000000000001,1.8900000000000001
2001,AR,Natural and semi-synthetic opioids,0.52,0.88
2001,AR,Heroin,0.27,0.05
2001,AR,Synthetic opioids,0.51,0.5700000000000001
2001,AZ,All opioids,5.2,6.159999999999999
2001,AZ,Natural and semi-synthetic opioids,2.19,2.3699999999999997
2001,AZ,Heroin,0.69,0.51
2001,AZ,Synthetic opioids,0.8400000000000001,0.55
2001,CA,All opioids,3.8499999999999996,5.159999999999999
2001,CA,Natural and semi-synthetic opioids,2.75,3.23
2001,CA,Heroin,1.49,1.08
2001,CA,Synthetic opioids,0.12000000000000001,0.49
2001,CO,All opioids,6.39,4.23
2001,CO,Natural and semi-synthetic opioids,2.14,1.55
2001,CO,Heroin,0.97,0.71
2001,CO,Synthetic opioids,0.64,0.6
2001,CT,All opioids,4.48,4.7700000000000005
2001,CT,Natural and semi-synthetic opioids,0.36,0.63
2001,CT,Heroin,3.03,2.82
2001,CT,Synthetic opioids,0.39,0.28
2001,DC,All opioids,11.39,4.58
2001,DC,Natural and semi-synthetic opioids,1.7,1.22
2001,DC,Heroin,0.37,1.1400000000000001
2001,DC,Synthetic opioids,0.39,0.72
2001,DE,All opioids,3.17,5.109999999999999
2001,DE,Natural and semi-synthetic opioids,0.62,1.27
2001,DE,Heroin,1.79,1.43
2001,DE,Synthetic opioids,0.62,0.8700000000000001
2001,FL,All opioids,1.3,7.859999999999999
2001,FL,Natural and semi-synthetic opioids,0.58,2.9299999999999997
2001,FL,Heroin,0.5700000000000001,1.52
2001,FL,Synthetic opioids,0.17,1.07
2001,GA,All opioids,0.7,2.73
2001,GA,Natural and semi-synthetic opioids,0.32999999999999996,1.09
2001,GA,Heroin,0.03,0.04
2001,GA,Synthetic opioids,0.11,0.36
2001,IL,All opioids,9.89,3.48
2001,IL,Natural and semi-synthetic opioids,0.27,0.54
2001,IL,Heroin,0.48000000000000004,0.27
2001,IL,Synthetic opioids,0.09,0.29000000000000004
2001,IN,All opioids,0.62,0.98
2001,IN,Natural and semi-synthetic opioids,0.44,0.37
2001,IN,Heroin,0.32999999999999996,0.06
2001,IN,Synthetic opioids,0.2,0.22
2001,KS,All opioids,2.3099999999999996,1.76
2001,KS,Natural and semi-synthetic opioids,1.21,0.91
2001,KS,Heroin,0.64,0.06
2001,KS,Synthetic opioids,0.74,0.6
2001,KY,All opioids,0.49,3.3
2001,KY,Natural and semi-synthetic opioids,0.46,1.6800000000000002
2001,KY,Heroin,0.39,0.03
2001,KY,Synthetic opioids,0.33999999999999997,0.51
2001,LA,All opioids,0.38,2.19
2001,LA,Natural and semi-synthetic opioids,0.22,1.1900000000000002
2001,LA,Heroin,0.09,0.07
2001,LA,Synthetic opioids,0.1,0.22
2001,MA,All opioids,7.09,7.89
2001,MA,Natural and semi-synthetic opioids,0.8500000000000001,0.8700000000000001
2001,MA,Heroin,0.29000000000000004,0.22
2001,MA,Synthetic opioids,0.54,0.24000000000000002
2001,MD,All opioids,14.129999999999999,8.67
2001,MD,Natural and semi-synthetic opioids,0.24000000000000002,0.47000000000000003
2001,MD,Heroin,0.44,0.09
2001,MD,Synthetic opioids,0.15000000000000002,0.32
2001,MI,All opioids,3.4899999999999998,1.6900000000000002
2001,MI,Natural and semi-synthetic opioids,0.73,0.5700000000000001
2001,MI,Heroin,1.91,0.53
2001,MI,Synthetic opioids,1.02,0.23
2001,MN,All opioids,8.52,1.45
2001,MN,Natural and semi-synthetic opioids,1.99,0.6
2001,MN,Heroin,0.99,0.04
2001,MN,Synthetic opioids,0.99,0.22
2001,MO,All opioids,3.02,2.8299999999999996
2001,MO,Natural and semi-synthetic opioids,0.8700000000000001,1.1300000000000001
2001,MO,Heroin,1.73,0.6799999999999999
2001,MO,Synthetic opioids,0.18,0.73
2001,MS,All opioids,0.1,0.89
2001,MS,Natural and semi-synthetic opioids,0.09,0.48000000000000004
2001,MS,Heroin,0.1,0.07
2001,MS,Synthetic opioids,0.08,0.22
2001,NC,All opioids,1.36,4.96
2001,NC,Natural and semi-synthetic opioids,0.36,1.79
2001,NC,Heroin,0.58,0.64
2001,NC,Synthetic opioids,0.26,1.05
2001,NJ,All opioids,6.79,4.84
2001,NJ,Natural and semi-synthetic opioids,1.09,1.22
2001,NJ,Heroin,4.44,2.48
2001,NJ,Synthetic opioids,0.22,0.37
2001,NV,All opioids,7.88,13
2001,NV,Natural and semi-synthetic opioids,2.8299999999999996,6.06
2001,NV,Heroin,2.3,2.4299999999999997
2001,NV,Synthetic opioids,1.07,1.43
2001,NY,All opioids,3.8899999999999997,2.54
2001,NY,Natural and semi-synthetic opioids,0.18,0.3
2001,NY,Heroin,0.15000000000000002,0.19
2001,NY,Synthetic opioids,0.16,0.16
2001,OH,All opioids,3.29,2.74
2001,OH,Natural and semi-synthetic opioids,1.01,1.24
2001,OH,Heroin,1.5,0.64
2001,OH,Synthetic opioids,0.3,0.45
2001,OK,All opioids,2.71,5.5
2001,OK,Natural and semi-synthetic opioids,1.32,2.92
2001,OK,Heroin,0.44,0.21000000000000002
2001,OK,Synthetic opioids,0.48000000000000004,0.89
2001,PA,All opioids,2.3499999999999996,2.94
2001,PA,Natural and semi-synthetic opioids,0.44,0.96
2001,PA,Heroin,1.49,1.28
2001,PA,Synthetic opioids,0.24000000000000002,0.32
2001,SC,All opioids,0.75,2.55
2001,SC,Natural and semi-synthetic opioids,0.38,1.48
2001,SC,Heroin,0.11,0.14
2001,SC,Synthetic opioids,0.13,0.6599999999999999
2001,TN,All opioids,0.55,2.9
2001,TN,Natural and semi-synthetic opioids,0.41000000000000003,1.57
2001,TN,Heroin,0.14,0.11
2001,TN,Synthetic opioids,0.21000000000000002,0.51
2001,TX,All opioids,1.82,3.46
2001,TX,Natural and semi-synthetic opioids,0.6,1.54
2001,TX,Heroin,0.6599999999999999,0.7799999999999999
2001,TX,Synthetic opioids,0.15000000000000002,0.52
2001,WA,All opioids,9.48,6.94
2001,WA,Natural and semi-synthetic opioids,1.9,2.18
2001,WA,Heroin,1.62,1.02
2001,WA,Synthetic opioids,0.9500000000000001,0.63
2001,WI,All opioids,5.33,2.25
2001,WI,Natural and semi-synthetic opioids,2.19,1.23
2001,WI,Heroin,2.4899999999999998,0.25
2001,WI,Synthetic opioids,0.89,0.53
2002,AL,All opioids,0.4,1.6300000000000001
2002,AL,Natural and semi-synthetic opioids,0.2,0.6599999999999999
2002,AL,Heroin,0.09,0.05
2002,AL,Synthetic opioids,0.12000000000000001,0.32
2002,AR,All opioids,0.9,2.9099999999999997
2002,AR,Natural and semi-synthetic opioids,0.56,1.99
2002,AR,Heroin,0.27,0.05
2002,AR,Synthetic opioids,0.5,0.69
2002,AZ,All opioids,5.29,6.7
2002,AZ,Natural and semi-synthetic opioids,2.2800000000000002,2.68
2002,AZ,Heroin,0.76,0.59
2002,AZ,Synthetic opioids,0.7899999999999999,0.61
2002,CA,All opioids,3.94,5.37
2002,CA,Natural and semi-synthetic opioids,2.73,3.3099999999999996
2002,CA,Heroin,1.4,1.04
2002,CA,Synthetic opioids,0.13,0.52
2002,CO,All opioids,6.430000000000001,4.71
2002,CO,Natural and semi-synthetic opioids,2.23,1.77
2002,CO,Heroin,1,0.64
2002,CO,Synthetic opioids,0.6699999999999999,0.64
2002,CT,All opioids,4.23,5.05
2002,CT,Natural and semi-synthetic opioids,0.37,0.6799999999999999
2002,CT,Heroin,2.8,2.8699999999999997
2002,CT,Synthetic opioids,0.39,0.3
2002,DC,All opioids,11.209999999999999,4.78
2002,DC,Natural and semi-synthetic opioids,1.85,1.27
2002,DC,Heroin,0.48000000000000004,0.8400000000000001
2002,DC,Synthetic opioids,0.38,0.74
2002,DE,All opioids,3.3099999999999996,4.98
2002,DE,Natural and semi-synthetic opioids,0.69,1.54
2002,DE,Heroin,1.54,1.21
2002,DE,Synthetic opioids,0.6699999999999999,0.9500000000000001
2002,FL,All opioids,1.34,8.450000000000001
2002,FL,Natural and semi-synthetic opioids,0.62,3.36
2002,FL,Heroin,0.49,1.75
2002,FL,Synthetic opioids,0.17,1.09
2002,GA,All opioids,0.77,3.8299999999999996
2002,GA,Natural and semi-synthetic opioids,0.37,1.27
2002,GA,Heroin,0.03,0.05
2002,GA,Synthetic opioids,0.11,0.42000000000000004
2002,IL,All opioids,9.81,3.84
2002,IL,Natural and semi-synthetic opioids,0.3,0.63
2002,IL,Heroin,0.48000000000000004,0.32
2002,IL,Synthetic opioids,0.23,0.4
2002,IN,All opioids,0.75,1.25
2002,IN,Natural and semi-synthetic opioids,0.48000000000000004,0.47000000000000003
2002,IN,Heroin,0.39,0.08
2002,IN,Synthetic opioids,0.22,0.28
2002,KS,All opioids,2.3899999999999997,2.44
2002,KS,Natural and semi-synthetic opioids,1.26,1.92
2002,KS,Heroin,0.6699999999999999,0.07
2002,KS,Synthetic opioids,0.76,0.64
2002,KY,All opioids,0.6,4.55
2002,KY,Natural and semi-synthetic opioids,0.53,2.03
2002,KY,Heroin,0.37,0.03
2002,KY,Synthetic opioids,0.33999999999999997,0.58
2002,LA,All opioids,0.44,2.7600000000000002
2002,LA,Natural and semi-synthetic opioids,0.24000000000000002,1.28
2002,LA,Heroin,0.09,0.09
2002,LA,Synthetic opioids,0.1,0.24000000000000002
2002,MA,All opioids,7.01,8.209999999999999
2002,MA,Natural and semi-synthetic opioids,0.9,1.05
2002,MA,Heroin,0.32999999999999996,0.23
2002,MA,Synthetic opioids,0.56,0.32999999999999996
2002,MD,All opioids,13.08,9.139999999999999
2002,MD,Natural and semi-synthetic opioids,0.41000000000000003,0.65
2002,MD,Heroin,0.6599999999999999,0.25
2002,MD,Synthetic opioids,0.17,0.38
2002,MI,All opioids,3.73,2.17
2002,MI,Natural and semi-synthetic opioids,0.8200000000000001,0.72
2002,MI,Heroin,2.01,0.63
2002,MI,Synthetic opioids,1.02,0.32999999999999996
2002,MN,All opioids,7.39,1.6900000000000002
2002,MN,Natural and semi-synthetic opioids,2.06,0.7
2002,MN,Heroin,0.9,0.03
2002,MN,Synthetic opioids,0.97,0.25
2002,MO,All opioids,3.3699999999999997,3.61
2002,MO,Natural and semi-synthetic opioids,0.96,1.6500000000000001
2002,MO,Heroin,1.98,0.6599999999999999
2002,MO,Synthetic opioids,0.31,0.7899999999999999
2002,MS,All opioids,0.12000000000000001,1.1500000000000001
2002,MS,Natural and semi-synthetic opioids,0.1,0.6
2002,MS,Heroin,0.1,0.07
2002,MS,Synthetic opioids,0.09,0.23
2002,NC,All opioids,1.41,6.109999999999999
2002,NC,Natural and semi-synthetic opioids,0.39,2.11
2002,NC,Heroin,0.47000000000000003,0.6699999999999999
2002,NC,Synthetic opioids,0.26,1.1300000000000001
2002,NJ,All opioids,6.95,4.859999999999999
2002,NJ,Natural and semi-synthetic opioids,1.1300000000000001,1.34
2002,NJ,Heroin,3.94,2.3499999999999996
2002,NJ,Synthetic opioids,0.22,0.38
2002,NV,All opioids,8.81,14.16
2002,NV,Natural and semi-synthetic opioids,3.2,6.7
2002,NV,Heroin,2.15,2.3299999999999996
2002,NV,Synthetic opioids,1,1.46
2002,NY,All opioids,3.8499999999999996,2.8899999999999997
2002,NY,Natural and semi-synthetic opioids,0.15000000000000002,0.32
2002,NY,Heroin,0.19,0.25
2002,NY,Synthetic opioids,0.17,0.21000000000000002
2002,OH,All opioids,3.4099999999999997,3.17
2002,OH,Natural and semi-synthetic opioids,1.1,1.41
2002,OH,Heroin,1.52,0.75
2002,OH,Synthetic opioids,0.33999999999999997,0.52
2002,OK,All opioids,2.86,6.41
2002,OK,Natural and semi-synthetic opioids,1.48,3.46
2002,OK,Heroin,0.43000000000000005,0.18
2002,OK,Synthetic opioids,0.51,1.05
2002,PA,All opioids,2.3899999999999997,3.2
2002,PA,Natural and semi-synthetic opioids,0.5,1.07
2002,PA,Heroin,1.23,1.2
2002,PA,Synthetic opioids,0.26,0.44
2002,SC,All opioids,0.7899999999999999,2.9099999999999997
2002,SC,Natural and semi-synthetic opioids,0.42000000000000004,1.6700000000000002
2002,SC,Heroin,0.11,0.15000000000000002
2002,SC,Synthetic opioids,0.15000000000000002,0.72
2002,TN,All opioids,0.6599999999999999,4
2002,TN,Natural and semi-synthetic opioids,0.48000000000000004,2.06
2002,TN,Heroin,0.12000000000000001,0.12000000000000001
2002,TN,Synthetic opioids,0.23,0.76
2002,TX,All opioids,1.8800000000000001,4.51
2002,TX,Natural and semi-synthetic opioids,0.8,2.15
2002,TX,Heroin,0.6699999999999999,0.8400000000000001
2002,TX,Synthetic opioids,0.16,0.55
2002,WA,All opioids,8.19,7.6499999999999995
2002,WA,Natural and semi-synthetic opioids,2.17,2.54
2002,WA,Heroin,1.58,1.01
2002,WA,Synthetic opioids,0.8700000000000001,0.6599999999999999
2002,WI,All opioids,5.88,2.7600000000000002
2002,WI,Natural and semi-synthetic opioids,2.54,1.47
2002,WI,Heroin,2.21,0.31
2002,WI,Synthetic opioids,0.93,0.58
2003,AL,All opioids,0.44,1.97
2003,AL,Natural and semi-synthetic opioids,0.22,0.8
2003,AL,Heroin,0.09,0.06
2003,AL,Synthetic opioids,0.12000000000000001,0.33999999999999997
2003,AR,All opioids,0.97,4.48
2003,AR,Natural and semi-synthetic opioids,0.6,2.3
2003,AR,Heroin,0.26,0.05
2003,AR,Synthetic opioids,0.5,0.8300000000000001
2003,AZ,All opioids,5.38,7.29
2003,AZ,Natural and semi-synthetic opioids,2.38,3.04
2003,AZ,Heroin,0.8400000000000001,0.69
2003,AZ,Synthetic opioids,0.75,0.6799999999999999
2003,CA,All opioids,4.03,5.59
2003,CA,Natural and semi-synthetic opioids,2.71,3.3899999999999997
2003,CA,Heroin,1.31,0.99
2003,CA,Synthetic opioids,0.15000000000000002,0.54
2003,CO,All opioids,6.470000000000001,5.23
2003,CO,Natural and semi-synthetic opioids,2.3299999999999996,2.01
2003,CO,Heroin,1.03,0.5700000000000001
2003,CO,Synthetic opioids,0.71,0.69
2003,CT,All opioids,3.9899999999999998,5.35
2003,CT,Natural and semi-synthetic opioids,0.39,0.74
2003,CT,Heroin,2.58,2.9299999999999997
2003,CT,Synthetic opioids,0.4,0.32
2003,DC,All opioids,11.04,4.98
2003,DC,Natural and semi-synthetic opioids,2.01,1.32
2003,DC,Heroin,0.63,0.62
2003,DC,Synthetic opioids,0.36,0.76
2003,DE,All opioids,3.4499999999999997,4.859999999999999
2003,DE,Natural and semi-synthetic opioids,0.77,1.86
2003,DE,Heroin,1.33,1.03
2003,DE,Synthetic opioids,0.73,1.03
2003,FL,All opioids,1.3800000000000001,9.08
