abbrev,name,opioid_cat,opioid_type,race_eth,race_cat,deaths,obs_rate,model_rate,apc_print,apc_pval,doubling_time
NY,New York,Heroin,heroin,nhb,Non-Hispanic Black,181,5.4,5.2,"0 (-26, 35)",0.99,"-499.5 (-3.3, 3.3)"
Oakland County (MI),Oakland County,Heroin,heroin,nhb,Non-Hispanic Black,<11,"NA",2.0,"10 (4, 16)",<.01,"10.7 (28.3, 6.6)"
OH,Ohio,Heroin,heroin,nhb,Non-Hispanic Black,63,4.1,4.7,"-15 (-23, -7)",<.01,"-6.0 (-3.8, -14.4)"
OK,Oklahoma,Heroin,heroin,nhb,Non-Hispanic Black,<11,"NA",1.0,"20 (-1, 45)",0.06,"5.5 (-166.2, 2.7)"
OR,Oregon,Heroin,heroin,nhb,Non-Hispanic Black,<11,"NA",6.8,"9 (2, 16)",0.01,"12.0 (48.1, 6.8)"
Orleans Parish (LA),Orleans Parish,Heroin,heroin,nhb,Non-Hispanic Black,<11,"NA",2.4,"-15 (-28, 1)",0.06,"-6.3 (-3.1, 91.4)"
PA,Pennsylvania,Heroin,heroin,nhb,Non-Hispanic Black,114,7.9,7.6,"28 (22, 35)",<.001,"4.0 (5.0, 3.3)"
Philadelphia County (PA),Philadelphia County,Heroin,heroin,nhb,Non-Hispanic Black,46,6.8,6.9,"51 (36, 68)",<.001,"2.4 (3.2, 1.9)"
Queens County (NY),Queens County,Heroin,heroin,nhb,Non-Hispanic Black,17,3.0,3.1,"-7 (-32, 26)",0.60,"-13.4 (-2.6, 4.3)"
Riverside County (CA),Riverside County,Heroin,heroin,nhb,Non-Hispanic Black,<11,"NA",1.2,"-4 (-10, 4)",0.30,"-27.3 (-9.0, 27.5)"
San Bernardino County (CA),San Bernardino County,Heroin,heroin,nhb,Non-Hispanic Black,<11,"NA",0.8,"4 (-2, 10)",0.23,"29.1 (-43.0, 10.8)"
San Diego County (CA),San Diego County,Heroin,heroin,nhb,Non-Hispanic Black,<11,"NA",3.4,"6 (0, 12)",0.04,"16.9 (333.8, 8.6)"
SC,South Carolina,Heroin,heroin,nhb,Non-Hispanic Black,27,2.0,2.0,"35 (23, 48)",<.001,"3.3 (4.9, 2.5)"
Shelby County (TN),Shelby County,Heroin,heroin,nhb,Non-Hispanic Black,23,4.5,4.5,"11 (5, 16)",<.01,"9.9 (19.0, 6.7)"
St. Louis city (MO),St. Louis city,Heroin,heroin,nhb,Non-Hispanic Black,41,29.0,42.4,"15 (11, 19)",<.001,"7.2 (9.5, 5.9)"
St. Louis County (MO),St. Louis County,Heroin,heroin,nhb,Non-Hispanic Black,49,21.9,26.0,"16 (13, 20)",<.001,"6.5 (8.2, 5.4)"
Suffolk County (MA),Suffolk County,Heroin,heroin,nhb,Non-Hispanic Black,<11,"NA",2.8,"-24 (-52, 18)",0.20,"-3.6 (-1.4, 5.9)"
Suffolk County (NY),Suffolk County,Heroin,heroin,nhb,Non-Hispanic Black,<11,"NA",6.2,"17 (10, 25)",<.001,"6.3 (10.7, 4.4)"
Tarrant County (TX),Tarrant County,Heroin,heroin,nhb,Non-Hispanic Black,<11,"NA",1.6,"2 (-3, 6)",0.46,"59.3 (-34.0, 15.9)"
TN,Tennessee,Heroin,heroin,nhb,Non-Hispanic Black,53,4.5,4.6,"16 (10, 22)",<.001,"6.9 (10.9, 5.0)"
TX,Texas,Heroin,heroin,nhb,Non-Hispanic Black,74,2.0,2.1,"28 (15, 43)",<.001,"4.0 (7.2, 2.8)"
Union County (NJ),Union County,Heroin,heroin,nhb,Non-Hispanic Black,15,11.5,12.3,"-12 (-51, 58)",0.64,"-7.8 (-1.4, 2.2)"
UT,Utah,Heroin,heroin,nhb,Non-Hispanic Black,<11,"NA",11.5,"47 (-3, 124)",0.07,"2.6 (-29.8, 1.2)"
VA,Virginia,Heroin,heroin,nhb,Non-Hispanic Black,133,7.8,9.0,"27 (20, 33)",<.001,"4.2 (5.4, 3.5)"
WA,Washington,Heroin,heroin,nhb,Non-Hispanic Black,22,6.0,6.5,"10 (7, 14)",<.001,"10.3 (15.4, 7.7)"
Wake County (NC),Wake County,Heroin,heroin,nhb,Non-Hispanic Black,<11,"NA",2.5,"14 (9, 20)",<.001,"7.5 (11.9, 5.4)"
Wayne County (MI),Wayne County,Heroin,heroin,nhb,Non-Hispanic Black,103,13.5,13.8,"-8 (-36, 31)",0.60,"-11.3 (-2.2, 3.7)"
Westchester County (NY),Westchester County,Heroin,heroin,nhb,Non-Hispanic Black,<11,"NA",3.9,"8 (0, 16)",0.06,"13.8 (-499.5, 6.8)"
WI,Wisconsin,Heroin,heroin,nhb,Non-Hispanic Black,46,12.9,12.6,"7 (-2, 16)",0.11,"15.4 (-58.3, 6.8)"
WV,West Virginia,Heroin,heroin,nhb,Non-Hispanic Black,11,15.8,15.4,"-9 (-33, 23)",0.52,"-10.5 (-2.5, 4.8)"
Adams County (CO),Adams County,Heroin,heroin,nhw,Non-Hispanic White,77,3.5,3.7,"0 (-7, 8)",0.90,"250.5 (-14.0, 12.4)"
AK,Alaska,Heroin,heroin,nhw,Non-Hispanic White,27,5.6,7.1,"17 (12, 22)",<.001,"6.5 (9.0, 5.0)"
AL,Alabama,Heroin,heroin,nhw,Non-Hispanic White,114,3.9,4.0,"4 (-2, 10)",0.20,"26.8 (-45.0, 10.3)"
Alameda County (CA),Alameda County,Heroin,heroin,nhw,Non-Hispanic White,14,2.4,1.9,"26 (10, 44)",<.01,"4.4 (10.3, 2.8)"
Allegheny County (PA),Allegheny County,Heroin,heroin,nhw,Non-Hispanic White,191,21.2,19.8,"-8 (-24, 10)",0.32,"-11.7 (-3.7, 10.4)"
AR,Arkansas,Heroin,heroin,nhw,Non-Hispanic White,24,1.2,1.2,"34 (25, 43)",<.001,"3.4 (4.5, 2.8)"
AZ,Arizona,Heroin,heroin,nhw,Non-Hispanic White,182,5.0,6.8,"15 (13, 17)",<.001,"7.0 (8.0, 6.3)"
Baltimore city (MD),Baltimore city,Heroin,heroin,nhw,Non-Hispanic White,19,9.5,7.8,"-36 (-54, -11)",0.01,"-2.2 (-1.3, -8.4)"
Baltimore County (MD),Baltimore County,Heroin,heroin,nhw,Non-Hispanic White,18,3.9,6.6,"-33 (-50, -11)",<.01,"-2.5 (-1.4, -8.6)"
Bexar County (TX),Bexar County,Heroin,heroin,nhw,Non-Hispanic White,20,4.1,3.9,"5 (2, 8)",<.01,"19.7 (44.0, 12.7)"
Bronx County (NY),Bronx County,Heroin,heroin,nhw,Non-Hispanic White,29,21.2,23.8,"18 (15, 21)",<.001,"6.0 (7.1, 5.2)"
Broward County (FL),Broward County,Heroin,heroin,nhw,Non-Hispanic White,50,8.2,6.9,"-16 (-38, 13)",0.22,"-5.7 (-2.1, 8.2)"
CA,California,Heroin,heroin,nhw,Non-Hispanic White,569,3.7,3.7,"12 (10, 14)",<.001,"9.0 (10.7, 7.7)"
Charleston County (SC),Charleston County,Heroin,heroin,nhw,Non-Hispanic White,22,7.2,7.2,"-6 (-25, 17)",0.54,"-15.1 (-3.4, 6.3)"
Clark County (NV),Clark County,Heroin,heroin,nhw,Non-Hispanic White,66,6.5,7.5,"15 (10, 21)",<.001,"7.0 (10.6, 5.2)"
CO,Colorado,Heroin,heroin,nhw,Non-Hispanic White,152,3.6,3.6,"-13 (-36, 18)",0.34,"-7.2 (-2.3, 6.1)"
Cobb County (GA),Cobb County,Heroin,heroin,nhw,Non-Hispanic White,25,6.6,7.4,"-4 (-10, 4)",0.30,"-27.3 (-9.1, 27.5)"
Contra Costa County (CA),Contra Costa County,Heroin,heroin,nhw,Non-Hispanic White,15,3.5,2.6,"10 (6, 15)",<.001,"10.4 (18.7, 7.2)"
Cook County (IL),Cook County,Heroin,heroin,nhw,Non-Hispanic White,203,9.2,9.0,"-10 (-21, 2)",0.10,"-9.3 (-4.2, 40.5)"
CT,Connecticut,Heroin,heroin,nhw,Non-Hispanic White,255,11.9,12.3,"-7 (-15, 2)",0.12,"-14.6 (-6.3, 48.1)"
Cumberland County (NC),Cumberland County,Heroin,heroin,nhw,Non-Hispanic White,15,10.4,19.9,"23 (16, 31)",<.001,"4.8 (6.7, 3.7)"
Cuyahoga County (OH),Cuyahoga County,Heroin,heroin,nhw,Non-Hispanic White,73,9.9,9.9,"-31 (-45, -13)",<.01,"-2.7 (-1.7, -7.0)"
Dallas County (TX),Dallas County,Heroin,heroin,nhw,Non-Hispanic White,51,6.4,6.5,"5 (3, 8)",<.001,"19.0 (31.7, 13.5)"
Davidson County (TN),Davidson County,Heroin,heroin,nhw,Non-Hispanic White,55,13.0,14.0,"2 (-8, 13)",0.67,"48.1 (-12.2, 8.1)"
DC,District of Columbia,Heroin,heroin,nhw,Non-Hispanic White,<11,"NA",2.8,"10 (3, 17)",<.01,"10.8 (35.0, 6.4)"
DE,Delaware,Heroin,heroin,nhw,Non-Hispanic White,78,14.9,23.3,"26 (20, 32)",<.001,"4.3 (5.4, 3.6)"
DeKalb County (GA),DeKalb County,Heroin,heroin,nhw,Non-Hispanic White,<11,"NA",5.7,"-3 (-24, 25)",0.82,"-38.0 (-3.6, 4.4)"
Delaware County (PA),Delaware County,Heroin,heroin,nhw,Non-Hispanic White,28,8.7,8.2,"-33 (-65, 28)",0.20,"-2.5 (-1.0, 4.1)"
District of Columbia (DC),District of Columbia,Heroin,heroin,nhw,Non-Hispanic White,<11,"NA",2.8,"10 (3, 17)",<.01,"10.8 (35.0, 6.4)"
Durham County (NC),Durham County,Heroin,heroin,nhw,Non-Hispanic White,<11,"NA",8.9,"18 (10, 26)",<.001,"6.0 (10.0, 4.3)"
Duval County (FL),Duval County,Heroin,heroin,nhw,Non-Hispanic White,35,7.2,7.2,"-14 (-27, 2)",0.08,"-6.8 (-3.2, 48.1)"
Erie County (NY),Erie County,Heroin,heroin,nhw,Non-Hispanic White,33,5.4,5.3,"-12 (-23, 0)",0.06,"-7.8 (-3.8, 333.8)"
Essex County (NJ),Essex County,Heroin,heroin,nhw,Non-Hispanic White,23,9.3,10.8,"-15 (-32, 8)",0.16,"-6.3 (-2.6, 13.8)"
Fairfax County (VA),Fairfax County,Heroin,heroin,nhw,Non-Hispanic White,18,3.2,2.7,"-32 (-75, 87)",0.44,"-2.6 (-0.7, 1.6)"
FL,Florida,Heroin,heroin,nhw,Non-Hispanic White,535,5.6,5.7,"2 (-6, 11)",0.53,"42.2 (-17.0, 9.3)"
Fort Bend County (TX),Fort Bend County,Heroin,heroin,nhw,Non-Hispanic White,<11,"NA",3.7,"18 (11, 25)",<.001,"6.1 (9.8, 4.4)"
Franklin County (OH),Franklin County,Heroin,heroin,nhw,Non-Hispanic White,34,4.0,4.5,"-24 (-31, -16)",<.001,"-3.6 (-2.7, -5.5)"
Fulton County (GA),Fulton County,Heroin,heroin,nhw,Non-Hispanic White,14,3.0,3.8,"-27 (-47, 1)",0.05,"-3.2 (-1.6, 167.2)"
GA,Georgia,Heroin,heroin,nhw,Non-Hispanic White,224,4.4,4.6,"5 (-3, 14)",0.17,"19.4 (-38.0, 7.7)"
Guilford County (NC),Guilford County,Heroin,heroin,nhw,Non-Hispanic White,32,12.7,12.3,"-2 (-21, 22)",0.86,"-55.1 (-4.2, 4.9)"
Gwinnett County (GA),Gwinnett County,Heroin,heroin,nhw,Non-Hispanic White,14,4.7,4.9,"-27 (-52, 10)",0.12,"-3.1 (-1.4, 10.8)"
Hamilton County (OH),Hamilton County,Heroin,heroin,nhw,Non-Hispanic White,38,8.1,7.5,"-53 (-70, -26)",<.01,"-1.3 (-0.8, -3.4)"
Harris County (TX),Harris County,Heroin,heroin,nhw,Non-Hispanic White,102,7.3,7.2,"9 (-10, 31)",0.34,"11.9 (-10.0, 3.7)"
Hartford County (CT),Hartford County,Heroin,heroin,nhw,Non-Hispanic White,39,7.9,7.1,"-31 (-45, -14)",<.01,"-2.7 (-1.7, -6.4)"
Hennepin County (MN),Hennepin County,Heroin,heroin,nhw,Non-Hispanic White,23,2.6,2.2,"-26 (-45, 1)",0.06,"-3.4 (-1.7, 143.4)"
HI,Hawaii,Heroin,heroin,nhw,Non-Hispanic White,<11,"NA",2.6,"-4 (-25, 22)",0.70,"-22.2 (-3.4, 5.0)"
Hillsborough County (FL),Hillsborough County,Heroin,heroin,nhw,Non-Hispanic White,50,6.8,10.1,"34 (19, 50)",<.001,"3.4 (5.7, 2.5)"
IA,Iowa,Heroin,heroin,nhw,Non-Hispanic White,32,1.3,1.3,"-8 (-29, 21)",0.55,"-12.8 (-2.9, 5.2)"
ID,Idaho,Heroin,heroin,nhw,Non-Hispanic White,35,2.6,2.4,"16 (0, 33)",0.04,"6.9 (200.5, 3.5)"
IL,Illinois,Heroin,heroin,nhw,Non-Hispanic White,513,7.2,7.8,"-2 (-8, 5)",0.58,"-58.3 (-11.8, 20.5)"
IN,Indiana,Heroin,heroin,nhw,Non-Hispanic White,252,5.3,5.4,"-3 (-15, 11)",0.68,"-38.0 (-6.3, 9.5)"
Jackson County (MO),Jackson County,Heroin,heroin,nhw,Non-Hispanic White,13,3.1,3.4,"-6 (-28, 23)",0.64,"-16.4 (-3.0, 4.8)"
Jefferson County (AL),Jefferson County,Heroin,heroin,nhw,Non-Hispanic White,53,16.4,18.0,"-3 (-11, 6)",0.53,"-36.5 (-8.6, 15.9)"
Jefferson County (KY),Jefferson County,Heroin,heroin,nhw,Non-Hispanic White,48,10.1,8.9,"-19 (-33, -2)",0.03,"-4.7 (-2.5, -39.5)"
Jefferson Parish (LA),Jefferson Parish,Heroin,heroin,nhw,Non-Hispanic White,41,19.2,19.0,"0 (-9, 9)",0.93,"-249.5 (-10.2, 11.2)"
King County (WA),King County,Heroin,heroin,nhw,Non-Hispanic White,102,6.7,6.7,"2 (-2, 6)",0.29,"50.5 (-52.1, 16.9)"
Kings County (NY),Kings County,Heroin,heroin,nhw,Non-Hispanic White,59,6.1,5.8,"-4 (-23, 20)",0.69,"-23.3 (-3.8, 5.6)"
KS,Kansas,Heroin,heroin,nhw,Non-Hispanic White,34,1.7,1.8,"20 (16, 24)",<.001,"5.6 (6.9, 4.7)"
KY,Kentucky,Heroin,heroin,nhw,Non-Hispanic White,135,3.9,3.5,"-26 (-38, -11)",<.01,"-3.3 (-2.1, -8.7)"
LA,Louisiana,Heroin,heroin,nhw,Non-Hispanic White,181,7.1,6.4,"14 (8, 20)",<.001,"7.9 (13.3, 5.6)"
Lake County (IN),Lake County,Heroin,heroin,nhw,Non-Hispanic White,29,12.9,17.0,"19 (14, 24)",<.001,"5.7 (7.7, 4.6)"
Los Angeles County (CA),Los Angeles County,Heroin,heroin,nhw,Non-Hispanic White,118,4.1,3.8,"6 (4, 9)",<.001,"16.1 (24.9, 12.0)"
MA,Massachusetts,Heroin,heroin,nhw,Non-Hispanic White,286,6.0,6.2,"-15 (-23, -6)",<.01,"-6.2 (-3.8, -15.6)"
Maricopa County (AZ),Maricopa County,Heroin,heroin,nhw,Non-Hispanic White,111,4.7,5.1,"-4 (-18, 10)",0.50,"-21.7 (-5.2, 10.0)"
Marion County (IN),Marion County,Heroin,heroin,nhw,Non-Hispanic White,62,11.7,14.1,"21 (16, 26)",<.001,"5.2 (6.6, 4.3)"
MD,Maryland,Heroin,heroin,nhw,Non-Hispanic White,118,4.2,5.3,"-29 (-42, -12)",<.01,"-2.9 (-1.8, -7.6)"
ME,Maine,Heroin,heroin,nhw,Non-Hispanic White,53,4.7,4.8,"-11 (-39, 30)",0.52,"-8.7 (-2.0, 3.8)"
Mecklenburg County (NC),Mecklenburg County,Heroin,heroin,nhw,Non-Hispanic White,37,6.9,6.7,"5 (-6, 16)",0.36,"21.8 (-17.0, 6.7)"
MI,Michigan,Heroin,heroin,nhw,Non-Hispanic White,296,4.4,4.4,"-30 (-50, -3)",0.04,"-2.8 (-1.4, -35.2)"
Miami-Dade County (FL),Miami-Dade County,Heroin,heroin,nhw,Non-Hispanic White,20,5.6,5.5,"-20 (-46, 19)",0.25,"-4.6 (-1.6, 5.7)"
Milwaukee County (WI),Milwaukee County,Heroin,heroin,nhw,Non-Hispanic White,80,15.5,15.8,"-15 (-36, 14)",0.26,"-6.3 (-2.2, 7.6)"
MN,Minnesota,Heroin,heroin,nhw,Non-Hispanic White,66,1.6,1.4,"-18 (-30, -4)",0.02,"-5.1 (-2.8, -25.8)"
MO,Missouri,Heroin,heroin,nhw,Non-Hispanic White,121,2.7,3.1,"-19 (-36, 2)",0.06,"-4.7 (-2.3, 63.0)"
Monroe County (NY),Monroe County,Heroin,heroin,nhw,Non-Hispanic White,<11,"NA",3.3,"-33 (-56, 1)",0.06,"-2.5 (-1.2, 77.4)"
Montgomery County (MD),Montgomery County,Heroin,heroin,nhw,Non-Hispanic White,14,2.6,2.5,"-39 (-67, 13)",0.11,"-2.0 (-0.9, 8.4)"
Montgomery County (OH),Montgomery County,Heroin,heroin,nhw,Non-Hispanic White,18,5.2,4.5,"-35 (-46, -22)",<.001,"-2.3 (-1.6, -3.9)"
MS,Mississippi,Heroin,heroin,nhw,Non-Hispanic White,63,4.2,3.8,"26 (21, 32)",<.001,"4.3 (5.2, 3.7)"
