abbrev,name,opioid_cat,opioid_type,race_eth,race_cat,deaths,obs_rate,model_rate,apc,apc_lower,apc_upper,apc_pval,doubling_time
Cuyahoga County (OH),Cuyahoga County,Heroin,heroin,nhb,Non-Hispanic Black,26,6.144458760971145,6.5,-15.8,-41.1,20.4,0.324,"-4.0 (-1.3, 3.7)"
Dallas County (TX),Dallas County,Heroin,heroin,nhb,Non-Hispanic Black,24,3.5307538065636717,2.77,4.7,1.3,8.2,0.008,"15.1 (53.7, 8.8)"
Davidson County (TN),Davidson County,Heroin,heroin,nhb,Non-Hispanic Black,21,11.030134814704967,9.709999999999999,28.5,21.6,35.8,0,"2.8 (3.5, 2.3)"
DC,District of Columbia,Heroin,heroin,nhb,Non-Hispanic Black,79,21.394889176825167,19.16,-21.8,-53.1,30.3,0.316,"-2.8 (-0.9, 2.6)"
DE,Delaware,Heroin,heroin,nhb,Non-Hispanic Black,25,11.215916075518402,11.47,33.1,18.4,49.7,0,"2.4 (4.1, 1.7)"
District of Columbia (DC),District of Columbia,Heroin,heroin,nhb,Non-Hispanic Black,79,21.394889176825167,19.16,-21.8,-53.1,30.3,0.316,"-2.8 (-0.9, 2.6)"
Durham County (NC),Durham County,Heroin,heroin,nhb,Non-Hispanic Black,NA,NA,5.42,13.7,6.5,21.4,0.001,"5.4 (11.0, 3.6)"
Erie County (NY),Erie County,Heroin,heroin,nhb,Non-Hispanic Black,NA,NA,4.67,7.2,1.3,13.4,0.019,"10.0 (53.7, 5.5)"
Essex County (NJ),Essex County,Heroin,heroin,nhb,Non-Hispanic Black,84,23.662447396325966,29.89,31.5,18.9,45.3,0,"2.5 (4.0, 1.9)"
Fairfax County (VA),Fairfax County,Heroin,heroin,nhb,Non-Hispanic Black,NA,NA,0.54,-69.8,-96,125.6,0.225,"-0.6 (-0.2, 0.9)"
FL,Florida,Heroin,heroin,nhb,Non-Hispanic Black,36,1.039660863144188,1.35,23.3,14,33.3,0,"3.3 (5.3, 2.4)"
Franklin County (OH),Franklin County,Heroin,heroin,nhb,Non-Hispanic Black,NA,NA,4.58,4.7,-1.1,10.8,0.108,"15.1 (-62.7, 6.8)"
Fulton County (GA),Fulton County,Heroin,heroin,nhb,Non-Hispanic Black,15,2.9956342153335873,3.46,17.5,10.1,25.3,0,"4.3 (7.2, 3.1)"
GA,Georgia,Heroin,heroin,nhb,Non-Hispanic Black,61,1.786388499334007,1.82,28.1,22.8,33.7,0,"2.8 (3.4, 2.4)"
Guilford County (NC),Guilford County,Heroin,heroin,nhb,Non-Hispanic Black,NA,NA,3.94,20,14.3,26,0,"3.8 (5.2, 3.0)"
Hamilton County (OH),Hamilton County,Heroin,heroin,nhb,Non-Hispanic Black,NA,NA,3.7,-50.2,-86.5,83.9,0.275,"-1.0 (-0.3, 1.1)"
Harris County (TX),Harris County,Heroin,heroin,nhb,Non-Hispanic Black,28,3.0695823036079295,3.42,51.3,31.2,74.6,0,"1.7 (2.6, 1.2)"
Hartford County (CT),Hartford County,Heroin,heroin,nhb,Non-Hispanic Black,NA,NA,6.35,8.1,2.1,14.5,0.01,"8.9 (33.4, 5.1)"
IA,Iowa,Heroin,heroin,nhb,Non-Hispanic Black,NA,NA,11.219999999999999,16.3,8.3,25,0,"4.6 (8.7, 3.1)"
IL,Illinois,Heroin,heroin,nhb,Non-Hispanic Black,345,17.99163441490143,17.77,-0.7,-27.2,35.6,0.963,"-98.7 (-2.2, 2.3)"
IN,Indiana,Heroin,heroin,nhb,Non-Hispanic Black,43,6.536717639514998,5.95,16.3,12.7,20.1,0,"4.6 (5.8, 3.8)"
Jefferson County (KY),Jefferson County,Heroin,heroin,nhb,Non-Hispanic Black,NA,NA,7.930000000000001,22.2,13.9,31.2,0,"3.5 (5.3, 2.6)"
Jefferson Parish (LA),Jefferson Parish,Heroin,heroin,nhb,Non-Hispanic Black,11,8.715525180811472,10.33,24.5,17.7,31.6,0,"3.2 (4.3, 2.5)"
King County (WA),King County,Heroin,heroin,nhb,Non-Hispanic Black,15,8.649010670836688,8.370000000000001,-0.3,-14.5,16.3,0.967,"-230.7 (-4.4, 4.6)"
Kings County (NY),Kings County,Heroin,heroin,nhb,Non-Hispanic Black,38,4.308899776927735,4.56,24.1,19.8,28.4,0,"3.2 (3.8, 2.8)"
KY,Kentucky,Heroin,heroin,nhb,Non-Hispanic Black,11,3.126301597933749,2.73,-19.1,-36.8,3.6,0.088,"-3.3 (-1.5, 19.6)"
LA,Louisiana,Heroin,heroin,nhb,Non-Hispanic Black,32,2.250184520704607,2.63,16.8,11.1,22.7,0,"4.5 (6.6, 3.4)"
Lake County (IN),Lake County,Heroin,heroin,nhb,Non-Hispanic Black,14,11.496244700853842,8.850000000000001,23,17.1,29.1,0,"3.3 (4.4, 2.7)"
Los Angeles County (CA),Los Angeles County,Heroin,heroin,nhb,Non-Hispanic Black,24,2.655849131575809,2.6,30.8,1.6,68.3,0.039,"2.6 (43.7, 1.3)"
MA,Massachusetts,Heroin,heroin,nhb,Non-Hispanic Black,20,3.593117904895558,3.27,-18.5,-35.1,2.3,0.074,"-3.4 (-1.6, 30.5)"
Maricopa County (AZ),Maricopa County,Heroin,heroin,nhb,Non-Hispanic Black,NA,NA,3.8099999999999996,10.5,4.2,17.2,0.002,"6.9 (16.8, 4.4)"
Marion County (IN),Marion County,Heroin,heroin,nhb,Non-Hispanic Black,19,7.076377440668379,7.609999999999999,34.7,14.7,58.1,0.002,"2.3 (5.1, 1.5)"
MD,Maryland,Heroin,heroin,nhb,Non-Hispanic Black,79,3.7589298489273877,4.09,-26.1,-38.9,-10.8,0.005,"-2.3 (-1.4, -6.1)"
Mecklenburg County (NC),Mecklenburg County,Heroin,heroin,nhb,Non-Hispanic Black,13,3.3207103480294573,3.77,18,13.1,23.2,0,"4.2 (5.6, 3.3)"
MI,Michigan,Heroin,heroin,nhb,Non-Hispanic Black,143,9.494699052053358,9.370000000000001,-8.8,-37.5,33,0.606,"-7.5 (-1.5, 2.4)"
Miami-Dade County (FL),Miami-Dade County,Heroin,heroin,nhb,Non-Hispanic Black,NA,NA,1.85,-10.7,-50.4,60.7,0.684,"-6.1 (-1.0, 1.5)"
Milwaukee County (WI),Milwaukee County,Heroin,heroin,nhb,Non-Hispanic Black,32,13.31602565815111,14.26,15.1,10.8,19.5,0,"4.9 (6.8, 3.9)"
MN,Minnesota,Heroin,heroin,nhb,Non-Hispanic Black,28,7.756652835478506,6.6499999999999995,4.7,-2.4,12.3,0.182,"15.1 (-28.5, 6.0)"
MO,Missouri,Heroin,heroin,nhb,Non-Hispanic Black,95,13.586442287522866,17.630000000000003,13.5,10.8,16.2,0,"5.5 (6.8, 4.6)"
Monroe County (NY),Monroe County,Heroin,heroin,nhb,Non-Hispanic Black,NA,NA,4.72,0.1,-14,16.6,0.984,"693.5 (-4.6, 4.5)"
Montgomery County (MD),Montgomery County,Heroin,heroin,nhb,Non-Hispanic Black,18,1.9958734570738903,1.94,-20.7,-34.2,-4.5,0.018,"-3.0 (-1.7, -15.1)"
Montgomery County (OH),Montgomery County,Heroin,heroin,nhb,Non-Hispanic Black,NA,NA,7.38,4.3,-0.5,9.3,0.074,"16.5 (-138.3, 7.8)"
Nassau County (NY),Nassau County,Heroin,heroin,nhb,Non-Hispanic Black,NA,NA,3.59,25.7,18.4,33.5,0,"3.0 (4.1, 2.4)"
NC,North Carolina,Heroin,heroin,nhb,Non-Hispanic Black,71,3.0177032718107286,3.4299999999999997,22.2,17.6,27,0,"3.5 (4.3, 2.9)"
New Castle County (DE),New Castle County,Heroin,heroin,nhb,Non-Hispanic Black,17,11.103527698230954,11.88,23.5,15.4,32.1,0,"3.3 (4.8, 2.5)"
New Haven County (CT),New Haven County,Heroin,heroin,nhb,Non-Hispanic Black,11,8.175199748227548,9.76,14.3,7.4,21.7,0,"5.2 (9.7, 3.5)"
New York County (NY),New York County,Heroin,heroin,nhb,Non-Hispanic Black,27,10.177497050080751,13.62,21.3,15.7,27.2,0,"3.6 (4.8, 2.9)"
NJ,New Jersey,Heroin,heroin,nhb,Non-Hispanic Black,205,15.626729744586926,21.05,35.1,23.5,47.8,0,"2.3 (3.3, 1.8)"
Norfolk city (VA),Norfolk city,Heroin,heroin,nhb,Non-Hispanic Black,NA,NA,11.29,16.2,9.5,23.2,0,"4.6 (7.6, 3.3)"
NV,Nevada,Heroin,heroin,nhb,Non-Hispanic Black,11,3.5371638117087425,3.66,43.2,2,100.8,0.039,"1.9 (35.0, 1.0)"
NY,New York,Heroin,heroin,nhb,Non-Hispanic Black,181,5.37780512071569,5.17,-0.2,-26.2,35,0.991,"-346.2 (-2.3, 2.3)"
Oakland County (MI),Oakland County,Heroin,heroin,nhb,Non-Hispanic Black,NA,NA,2.04,9.8,3.6,16.4,0.003,"7.4 (19.6, 4.6)"
OH,Ohio,Heroin,heroin,nhb,Non-Hispanic Black,63,4.093102501583856,4.6899999999999995,-15.4,-23.2,-6.7,0.003,"-4.1 (-2.6, -10.0)"
OK,Oklahoma,Heroin,heroin,nhb,Non-Hispanic Black,NA,NA,1.03,19.9,-0.6,44.7,0.057,"3.8 (-115.2, 1.9)"
OR,Oregon,Heroin,heroin,nhb,Non-Hispanic Black,NA,NA,6.76,8.7,2.1,15.8,0.012,"8.3 (33.4, 4.7)"
Orleans Parish (LA),Orleans Parish,Heroin,heroin,nhb,Non-Hispanic Black,NA,NA,2.44,-14.6,-27.9,1.1,0.064,"-4.4 (-2.1, 63.4)"
PA,Pennsylvania,Heroin,heroin,nhb,Non-Hispanic Black,114,7.8608257485614015,7.59,28.4,22.2,34.8,0,"2.8 (3.5, 2.3)"
Philadelphia County (PA),Philadelphia County,Heroin,heroin,nhb,Non-Hispanic Black,46,6.823900350871315,6.87,51.4,36.1,68.5,0,"1.7 (2.2, 1.3)"
Queens County (NY),Queens County,Heroin,heroin,nhb,Non-Hispanic Black,17,2.967583686638712,3.09,-7.2,-31.7,26.1,0.599,"-9.3 (-1.8, 3.0)"
Riverside County (CA),Riverside County,Heroin,heroin,nhb,Non-Hispanic Black,NA,NA,1.1700000000000002,-3.6,-10.5,3.7,0.303,"-18.9 (-6.2, 19.1)"
San Bernardino County (CA),San Bernardino County,Heroin,heroin,nhb,Non-Hispanic Black,NA,NA,0.8,3.5,-2.3,9.7,0.231,"20.1 (-29.8, 7.5)"
San Diego County (CA),San Diego County,Heroin,heroin,nhb,Non-Hispanic Black,NA,NA,3.36,6.1,0.3,12.3,0.04,"11.7 (231.4, 6.0)"
SC,South Carolina,Heroin,heroin,nhb,Non-Hispanic Black,27,1.9820711357584653,2.02,34.8,22.6,48.3,0,"2.3 (3.4, 1.8)"
Shelby County (TN),Shelby County,Heroin,heroin,nhb,Non-Hispanic Black,23,4.517345024252229,4.48,10.6,5.4,16,0.001,"6.9 (13.2, 4.7)"
St. Louis city (MO),St. Louis city,Heroin,heroin,nhb,Non-Hispanic Black,41,28.980847756629974,42.42,14.8,11.1,18.6,0,"5.0 (6.6, 4.1)"
St. Louis County (MO),St. Louis County,Heroin,heroin,nhb,Non-Hispanic Black,49,21.912454463476358,25.959999999999997,16.5,12.9,20.3,0,"4.5 (5.7, 3.8)"
Suffolk County (MA),Suffolk County,Heroin,heroin,nhb,Non-Hispanic Black,NA,NA,2.84,-24.5,-51.9,18.5,0.205,"-2.5 (-0.9, 4.1)"
Suffolk County (NY),Suffolk County,Heroin,heroin,nhb,Non-Hispanic Black,NA,NA,6.2,17.3,9.8,25.2,0,"4.3 (7.4, 3.1)"
Tarrant County (TX),Tarrant County,Heroin,heroin,nhb,Non-Hispanic Black,NA,NA,1.61,1.7,-2.9,6.5,0.458,"41.1 (-23.6, 11.0)"
TN,Tennessee,Heroin,heroin,nhb,Non-Hispanic Black,53,4.541281485142612,4.6,15.7,9.6,22.2,0,"4.8 (7.6, 3.5)"
TX,Texas,Heroin,heroin,nhb,Non-Hispanic Black,74,1.979108651117746,2.06,28.1,14.8,43,0,"2.8 (5.0, 1.9)"
Union County (NJ),Union County,Heroin,heroin,nhb,Non-Hispanic Black,15,11.484336752929682,12.29,-12,-50.9,57.8,0.636,"-5.4 (-1.0, 1.5)"
UT,Utah,Heroin,heroin,nhb,Non-Hispanic Black,NA,NA,11.47,47.1,-3.3,123.9,0.069,"1.8 (-20.7, 0.9)"
VA,Virginia,Heroin,heroin,nhb,Non-Hispanic Black,133,7.808156071914235,8.96,26.6,20.2,33.3,0,"2.9 (3.8, 2.4)"
WA,Washington,Heroin,heroin,nhb,Non-Hispanic Black,22,5.976566443905674,6.53,10.2,6.7,13.8,0,"7.1 (10.7, 5.4)"
Wake County (NC),Wake County,Heroin,heroin,nhb,Non-Hispanic Black,NA,NA,2.4899999999999998,14.3,8.8,20.2,0,"5.2 (8.2, 3.8)"
Wayne County (MI),Wayne County,Heroin,heroin,nhb,Non-Hispanic Black,103,13.542221939922895,13.76,-8.5,-36.2,31.3,0.605,"-7.8 (-1.5, 2.5)"
Westchester County (NY),Westchester County,Heroin,heroin,nhb,Non-Hispanic Black,NA,NA,3.9,7.5,-0.2,15.8,0.055,"9.6 (-346.2, 4.7)"
WI,Wisconsin,Heroin,heroin,nhb,Non-Hispanic Black,46,12.937125448789018,12.62,6.7,-1.7,15.9,0.112,"10.7 (-40.4, 4.7)"
WV,West Virginia,Heroin,heroin,nhb,Non-Hispanic Black,11,15.815545709010822,15.360000000000001,-9.1,-33,23.3,0.516,"-7.3 (-1.7, 3.3)"
Adams County (CO),Adams County,Heroin,heroin,nhw,Non-Hispanic White,77,3.4800319744176673,3.74,0.4,-6.9,8.4,0.901,"173.6 (-9.7, 8.6)"
AK,Alaska,Heroin,heroin,nhw,Non-Hispanic White,27,5.63508483874865,7.1,16.7,11.7,21.9,0,"4.5 (6.3, 3.5)"
AL,Alabama,Heroin,heroin,nhw,Non-Hispanic White,114,3.905969814128718,3.9699999999999998,3.8,-2.2,10.2,0.201,"18.6 (-31.2, 7.1)"
Alameda County (CA),Alameda County,Heroin,heroin,nhw,Non-Hispanic White,14,2.4224305184103305,1.85,25.8,10.2,43.6,0.002,"3.0 (7.1, 1.9)"
Allegheny County (PA),Allegheny County,Heroin,heroin,nhw,Non-Hispanic White,191,21.193821336084426,19.84,-8.2,-23.5,10.1,0.318,"-8.1 (-2.6, 7.2)"
AR,Arkansas,Heroin,heroin,nhw,Non-Hispanic White,24,1.2276394492931397,1.2,33.7,24.9,43.1,0,"2.4 (3.1, 1.9)"
AZ,Arizona,Heroin,heroin,nhw,Non-Hispanic White,182,5.0353422570596935,6.83,15.3,13.3,17.2,0,"4.9 (5.6, 4.4)"
Baltimore city (MD),Baltimore city,Heroin,heroin,nhw,Non-Hispanic White,19,9.45651058923869,7.78,-35.9,-53.8,-11.2,0.012,"-1.6 (-0.9, -5.8)"
Baltimore County (MD),Baltimore County,Heroin,heroin,nhw,Non-Hispanic White,18,3.92787170220269,6.58,-33.2,-49.9,-11,0.009,"-1.7 (-1.0, -5.9)"
Bexar County (TX),Bexar County,Heroin,heroin,nhw,Non-Hispanic White,20,4.0816351205371015,3.92,5.2,2.3,8.2,0.001,"13.7 (30.5, 8.8)"
Bronx County (NY),Bronx County,Heroin,heroin,nhw,Non-Hispanic White,29,21.184582652064993,23.779999999999998,18.2,15.1,21.4,0,"4.1 (4.9, 3.6)"
Broward County (FL),Broward County,Heroin,heroin,nhw,Non-Hispanic White,50,8.172431196709377,6.9,-16,-37.6,13,0.219,"-4.0 (-1.5, 5.7)"
CA,California,Heroin,heroin,nhw,Non-Hispanic White,569,3.72724722505155,3.68,11.8,9.8,13.9,0,"6.2 (7.4, 5.3)"
Charleston County (SC),Charleston County,Heroin,heroin,nhw,Non-Hispanic White,22,7.219741072276251,7.2,-6.4,-25.2,17.3,0.545,"-10.5 (-2.4, 4.3)"
Clark County (NV),Clark County,Heroin,heroin,nhw,Non-Hispanic White,66,6.533696595666272,7.49,15.4,9.9,21.1,0,"4.8 (7.3, 3.6)"
CO,Colorado,Heroin,heroin,nhw,Non-Hispanic White,152,3.645737220222555,3.6,-13,-35.7,17.8,0.34,"-5.0 (-1.6, 4.2)"
Cobb County (GA),Cobb County,Heroin,heroin,nhw,Non-Hispanic White,25,6.63746531219394,7.45,-3.6,-10.4,3.7,0.301,"-18.9 (-6.3, 19.1)"
Contra Costa County (CA),Contra Costa County,Heroin,heroin,nhw,Non-Hispanic White,15,3.4957048831655637,2.57,10.1,5.5,14.9,0,"7.2 (12.9, 5.0)"
Cook County (IL),Cook County,Heroin,heroin,nhw,Non-Hispanic White,203,9.183819750974854,9.03,-10.2,-21.3,2.5,0.101,"-6.4 (-2.9, 28.1)"
CT,Connecticut,Heroin,heroin,nhw,Non-Hispanic White,255,11.924812783039386,12.31,-6.6,-14.6,2.1,0.121,"-10.2 (-4.4, 33.4)"
Cumberland County (NC),Cumberland County,Heroin,heroin,nhw,Non-Hispanic White,15,10.37887025873175,19.9,23.4,16,31.2,0,"3.3 (4.7, 2.6)"
Cuyahoga County (OH),Cuyahoga County,Heroin,heroin,nhw,Non-Hispanic White,73,9.906434731404053,9.92,-30.9,-44.9,-13.4,0.003,"-1.9 (-1.2, -4.8)"
Dallas County (TX),Dallas County,Heroin,heroin,nhw,Non-Hispanic White,51,6.352123065664521,6.51,5.4,3.2,7.7,0,"13.2 (22.0, 9.3)"
Davidson County (TN),Davidson County,Heroin,heroin,nhw,Non-Hispanic White,55,12.994163842369192,14,2.1,-7.9,13.1,0.673,"33.4 (-8.4, 5.6)"
DC,District of Columbia,Heroin,heroin,nhw,Non-Hispanic White,NA,NA,2.8299999999999996,9.7,2.9,17,0.007,"7.5 (24.2, 4.4)"
DE,Delaware,Heroin,heroin,nhw,Non-Hispanic White,78,14.854530524944773,23.279999999999998,26,20.3,31.9,0,"3.0 (3.8, 2.5)"
DeKalb County (GA),DeKalb County,Heroin,heroin,nhw,Non-Hispanic White,NA,NA,5.71,-2.6,-24.3,25.2,0.824,"-26.3 (-2.5, 3.1)"
Delaware County (PA),Delaware County,Heroin,heroin,nhw,Non-Hispanic White,28,8.712894810389926,8.18,-32.8,-64.6,27.8,0.205,"-1.7 (-0.7, 2.8)"
District of Columbia (DC),District of Columbia,Heroin,heroin,nhw,Non-Hispanic White,NA,NA,2.8299999999999996,9.7,2.9,17,0.007,"7.5 (24.2, 4.4)"
Durham County (NC),Durham County,Heroin,heroin,nhw,Non-Hispanic White,NA,NA,8.870000000000001,18.2,10.5,26.4,0,"4.1 (6.9, 3.0)"
Duval County (FL),Duval County,Heroin,heroin,nhw,Non-Hispanic White,35,7.228503023922268,7.22,-13.7,-27,2.1,0.081,"-4.7 (-2.2, 33.4)"
Erie County (NY),Erie County,Heroin,heroin,nhw,Non-Hispanic White,33,5.352005991997608,5.319999999999999,-12,-22.9,0.3,0.055,"-5.4 (-2.7, 231.4)"
Essex County (NJ),Essex County,Heroin,heroin,nhw,Non-Hispanic White,23,9.309728473989333,10.75,-14.7,-32.3,7.5,0.162,"-4.4 (-1.8, 9.6)"
Fairfax County (VA),Fairfax County,Heroin,heroin,nhw,Non-Hispanic White,18,3.225643555029039,2.69,-31.5,-74.9,87,0.436,"-1.8 (-0.5, 1.1)"
FL,Florida,Heroin,heroin,nhw,Non-Hispanic White,535,5.604622833728193,5.73,2.4,-5.7,11.3,0.53,"29.2 (-11.8, 6.5)"
Fort Bend County (TX),Fort Bend County,Heroin,heroin,nhw,Non-Hispanic White,NA,NA,3.68,17.9,10.8,25.4,0,"4.2 (6.8, 3.1)"
Franklin County (OH),Franklin County,Heroin,heroin,nhw,Non-Hispanic White,34,4.044348745227428,4.48,-24.1,-31.1,-16.5,0,"-2.5 (-1.9, -3.8)"
Fulton County (GA),Fulton County,Heroin,heroin,nhw,Non-Hispanic White,14,2.9811761914089296,3.8,-26.8,-46.8,0.6,0.054,"-2.2 (-1.1, 115.9)"
GA,Georgia,Heroin,heroin,nhw,Non-Hispanic White,224,4.368694409706425,4.6499999999999995,5.3,-2.6,13.9,0.175,"13.4 (-26.3, 5.3)"
Guilford County (NC),Guilford County,Heroin,heroin,nhw,Non-Hispanic White,32,12.746209006547941,12.28,-1.8,-21.2,22.4,0.863,"-38.2 (-2.9, 3.4)"
Gwinnett County (GA),Gwinnett County,Heroin,heroin,nhw,Non-Hispanic White,14,4.696516618157391,4.91,-27.4,-52,9.7,0.12,"-2.2 (-0.9, 7.5)"
Hamilton County (OH),Hamilton County,Heroin,heroin,nhw,Non-Hispanic White,38,8.062991128862585,7.53,-52.7,-69.9,-25.7,0.003,"-0.9 (-0.6, -2.3)"
Harris County (TX),Harris County,Heroin,heroin,nhw,Non-Hispanic White,102,7.265722189964013,7.25,8.8,-9.5,30.8,0.339,"8.2 (-6.9, 2.6)"
Hartford County (CT),Hartford County,Heroin,heroin,nhw,Non-Hispanic White,39,7.909387079151457,7.14,-31.3,-44.8,-14.4,0.003,"-1.8 (-1.2, -4.5)"
Hennepin County (MN),Hennepin County,Heroin,heroin,nhw,Non-Hispanic White,23,2.6315258960550305,2.18,-25.6,-45.1,0.7,0.055,"-2.3 (-1.2, 99.4)"
HI,Hawaii,Heroin,heroin,nhw,Non-Hispanic White,NA,NA,2.62,-4.4,-25.3,22.3,0.7,"-15.4 (-2.4, 3.4)"
Hillsborough County (FL),Hillsborough County,Heroin,heroin,nhw,Non-Hispanic White,50,6.833006712896812,10.12,33.8,19.2,50.1,0,"2.4 (3.9, 1.7)"
IA,Iowa,Heroin,heroin,nhw,Non-Hispanic White,32,1.3235577436469785,1.34,-7.5,-29.4,21.2,0.548,"-8.9 (-2.0, 3.6)"
ID,Idaho,Heroin,heroin,nhw,Non-Hispanic White,35,2.5695763994734815,2.4099999999999997,15.6,0.5,32.9,0.044,"4.8 (139.0, 2.4)"
IL,Illinois,Heroin,heroin,nhw,Non-Hispanic White,513,7.184143531439414,7.79,-1.7,-8.1,5,0.575,"-40.4 (-8.2, 14.2)"
IN,Indiana,Heroin,heroin,nhw,Non-Hispanic White,252,5.261654199778982,5.37,-2.6,-14.6,11.1,0.675,"-26.3 (-4.4, 6.6)"
Jackson County (MO),Jackson County,Heroin,heroin,nhw,Non-Hispanic White,13,3.0527864957477604,3.38,-5.9,-28.2,23.3,0.64,"-11.4 (-2.1, 3.3)"
Jefferson County (AL),Jefferson County,Heroin,heroin,nhw,Non-Hispanic White,53,16.403762205698303,17.99,-2.7,-11,6.5,0.532,"-25.3 (-5.9, 11.0)"
Jefferson County (KY),Jefferson County,Heroin,heroin,nhw,Non-Hispanic White,48,10.111259952959955,8.94,-19,-32.7,-2.5,0.029,"-3.3 (-1.8, -27.4)"
Jefferson Parish (LA),Jefferson Parish,Heroin,heroin,nhw,Non-Hispanic White,41,19.23554148362054,19.05,-0.4,-9.3,9.3,0.93,"-172.9 (-7.1, 7.8)"
King County (WA),King County,Heroin,heroin,nhw,Non-Hispanic White,102,6.685234083032045,6.7,2,-1.9,6.1,0.288,"35.0 (-36.1, 11.7)"
Kings County (NY),Kings County,Heroin,heroin,nhw,Non-Hispanic White,59,6.119933170915226,5.81,-4.2,-23.3,19.5,0.685,"-16.2 (-2.6, 3.9)"
KS,Kansas,Heroin,heroin,nhw,Non-Hispanic White,34,1.6972086714848214,1.79,19.5,15.5,23.7,0,"3.9 (4.8, 3.3)"
KY,Kentucky,Heroin,heroin,nhw,Non-Hispanic White,135,3.946025661156131,3.55,-25.9,-38.4,-10.8,0.005,"-2.3 (-1.4, -6.1)"
LA,Louisiana,Heroin,heroin,nhw,Non-Hispanic White,181,7.055620333123579,6.4,13.5,7.8,19.5,0,"5.5 (9.2, 3.9)"
Lake County (IN),Lake County,Heroin,heroin,nhw,Non-Hispanic White,29,12.904018566472637,17,19.1,13.9,24.5,0,"4.0 (5.3, 3.2)"
Los Angeles County (CA),Los Angeles County,Heroin,heroin,nhw,Non-Hispanic White,118,4.084469336840162,3.79,6.4,4.1,8.7,0,"11.2 (17.3, 8.3)"
MA,Massachusetts,Heroin,heroin,nhw,Non-Hispanic White,286,6.033680691042091,6.22,-15,-23,-6.2,0.004,"-4.3 (-2.7, -10.8)"
Maricopa County (AZ),Maricopa County,Heroin,heroin,nhw,Non-Hispanic White,111,4.686417692185316,5.08,-4.5,-17.5,10.5,0.504,"-15.1 (-3.6, 6.9)"
Marion County (IN),Marion County,Heroin,heroin,nhw,Non-Hispanic White,62,11.662577981500087,14.139999999999999,21.2,16.3,26.3,0,"3.6 (4.6, 3.0)"
MD,Maryland,Heroin,heroin,nhw,Non-Hispanic White,118,4.209190355726101,5.31,-28.8,-42.2,-12.4,0.005,"-2.0 (-1.3, -5.2)"
ME,Maine,Heroin,heroin,nhw,Non-Hispanic White,53,4.681220029790437,4.85,-10.8,-38.9,30.1,0.515,"-6.1 (-1.4, 2.6)"
Mecklenburg County (NC),Mecklenburg County,Heroin,heroin,nhw,Non-Hispanic White,37,6.861911356502531,6.71,4.7,-5.7,16.2,0.357,"15.1 (-11.8, 4.6)"
